116.519542,39.900846|116.535859,39.917164
116.503224,39.884528|116.519542,39.900846
116.519542,39.884528|116.535859,39.900846
116.535859,39.917164|116.568494,39.949799
116.568494,39.917164|116.601130,39.949799
116.535859,39.884528|116.568494,39.917164
116.568494,39.884528|116.601130,39.917164
116.601130,39.949799|116.666400,40.015069
116.666400,39.949799|116.731670,40.015069
116.601130,39.917164|116.633765,39.949799
116.633765,39.917164|116.666400,39.949799
116.601130,39.884528|116.633765,39.917164
116.633765,39.900846|116.650082,39.917164
116.650082,39.900846|116.666400,39.917164
116.633765,39.884528|116.650082,39.900846
116.650082,39.884528|116.666400,39.900846
116.666400,39.917164|116.699035,39.949799
116.699035,39.917164|116.731670,39.949799
116.666400,39.884528|116.699035,39.917164
116.699035,39.884528|116.731670,39.917164
116.470589,39.851893|116.503224,39.884528
116.503224,39.851893|116.535859,39.884528
116.470589,39.819258|116.503224,39.851893
116.503224,39.819258|116.535859,39.851893
116.535859,39.819258|116.601130,39.884528
116.470589,39.786623|116.503224,39.819258
116.503224,39.786623|116.535859,39.819258
116.470589,39.753988|116.503224,39.786623
116.503224,39.753988|116.535859,39.786623
116.535859,39.786623|116.568494,39.819258
116.568494,39.786623|116.601130,39.819258
116.535859,39.753988|116.568494,39.786623
116.568494,39.753988|116.601130,39.786623
116.601130,39.819258|116.666400,39.884528
116.666400,39.819258|116.731670,39.884528
116.601130,39.753988|116.666400,39.819258
116.666400,39.753988|116.731670,39.819258
116.731670,39.949799|116.796941,40.015069
116.731670,39.884528|116.796941,39.949799
116.796941,39.884528|116.862211,39.949799
116.731670,39.753988|116.862211,39.884528
116.862211,39.753988|116.992752,39.884528
116.470589,39.623447|116.601130,39.753988
116.601130,39.623447|116.731670,39.753988
116.470589,39.492906|116.601130,39.623447
116.601130,39.558177|116.666400,39.623447
116.666400,39.558177|116.731670,39.623447
116.731670,39.623447|116.862211,39.753988
116.862211,39.623447|116.992751,39.753988
116.731670,39.492906|116.862211,39.623447
115.687345,40.537231|115.948427,40.798313
116.209508,40.798313|116.470589,41.059394
116.078967,40.667772|116.209508,40.798313
115.948427,40.537231|116.078967,40.667772
116.078967,40.537231|116.209508,40.667772
116.209508,40.667772|116.340048,40.798313
116.340048,40.667772|116.470589,40.798313
116.209508,40.537231|116.340048,40.667772
116.340048,40.537231|116.470589,40.667772
115.687345,40.276150|115.948427,40.537231
115.426264,40.015069|115.687345,40.276150
115.687345,40.015069|115.948427,40.276150
115.948427,40.504596|115.981062,40.537231
115.981062,40.504596|116.013697,40.537231
115.948427,40.471961|115.981062,40.504596
115.981062,40.471961|116.013697,40.504596
116.013697,40.504596|116.046332,40.537231
116.046332,40.504596|116.078967,40.537231
116.013697,40.471961|116.046332,40.504596
116.046332,40.471961|116.078967,40.504596
115.948427,40.455644|115.964744,40.471961
115.964744,40.463802|115.972903,40.471961
115.972903,40.463802|115.981062,40.471961
115.964744,40.455644|115.972903,40.463802
115.972903,40.455644|115.981062,40.463802
115.948427,40.439326|115.964744,40.455644
115.964744,40.439326|115.981062,40.455644
115.981062,40.455644|115.997379,40.471961
115.997379,40.455644|116.013697,40.471961
115.981062,40.439326|115.997379,40.455644
115.997379,40.439326|116.013697,40.455644
115.948427,40.406691|115.981062,40.439326
115.981062,40.406691|116.013697,40.439326
116.013697,40.406691|116.078967,40.471961
116.078967,40.504596|116.111602,40.537231
116.111602,40.504596|116.144237,40.537231
116.078967,40.471961|116.111602,40.504596
116.111602,40.471961|116.144237,40.504596
116.144237,40.520914|116.160555,40.537231
116.160555,40.520914|116.176873,40.537231
116.144237,40.504596|116.160555,40.520914
116.160555,40.504596|116.176873,40.520914
116.176873,40.504596|116.209508,40.537231
116.144237,40.471961|116.176873,40.504596
116.176873,40.471961|116.209508,40.504596
116.078967,40.406691|116.144237,40.471961
116.144237,40.406691|116.209508,40.471961
115.948427,40.341421|116.013697,40.406691
116.013697,40.341421|116.078967,40.406691
115.948427,40.276150|116.013697,40.341421
116.013697,40.276150|116.078967,40.341421
116.078967,40.276150|116.209508,40.406691
116.209508,40.406691|116.340048,40.537231
116.340048,40.406691|116.470589,40.537231
116.209508,40.276150|116.340048,40.406691
116.340048,40.276150|116.470589,40.406691
115.948427,40.145610|116.078967,40.276150
116.078967,40.243515|116.111602,40.276150
116.111602,40.243515|116.144237,40.276150
116.078967,40.210880|116.111602,40.243515
116.111602,40.210880|116.144237,40.243515
116.144237,40.243515|116.176873,40.276150
116.176873,40.243515|116.209508,40.276150
116.144237,40.210880|116.176873,40.243515
116.176873,40.210880|116.209508,40.243515
116.078967,40.145610|116.144237,40.210880
116.144237,40.178245|116.176873,40.210880
116.176873,40.178245|116.209508,40.210880
116.144237,40.145610|116.176873,40.178245
116.176873,40.145610|116.209508,40.178245
115.948427,40.015069|116.078967,40.145610
116.078967,40.112974|116.111602,40.145610
